d0000001.s001.h001 object%1:03:00::
d0000002.s001.h001 whole%1:03:00::
d0000003.s001.h001 unit%1:03:00::
d0000004.s001.h001 congener%1:03:00::
d0000005.s001.h001 congener%1:03:00::
d0000006.s001.h001 life%1:03:00::
d0000007.s001.h001 person%1:03:00::
d0000008.s001.h002 substance%1:03:00::
d0000009.s001.h001 substance%1:03:01::
d0000010.s001.h001 matter%1:03:00::
d0000011.s001.h001 article%1:03:00::
d0000012.s001.h001 motivation%1:03:00::
d0000013.s001.h001 motive%1:03:00::
d0000014.s001.h001 state%1:03:00::
d0000015.s001.h001 state%1:03:00::
d0000016.s001.h001 state%1:03:00::
d0000017.s001.h001 feeling%1:03:00::
d0000018.s001.h001 feeling%1:03:00::
d0000019.s001.h001 feeling%1:03:00::
d0000020.s001.h001 shape%1:03:00::
d0000021.s001.h001 space%1:03:00::
d0000022.s001.h001 infinite%1:03:00::
d0000023.s001.h001 phase_space%1:03:00::
d0000024.s001.h001 process%1:03:00::
d0000025.s001.h001 process%1:03:00::
d0000026.s001.h001 thing%1:04:00::
d0000027.s001.h001 abort%1:04:00::
d0000028.s001.h001 abort%1:04:00::
d0000030.s001.h001 application%1:04:00::
d0000031.s001.h001 application%1:04:00::
d0000032.s001.h001 application%1:04:00::
d0000033.s001.h001 beachhead%1:04:00::
d0000034.s001.h001 foothold%1:04:00::
d0000035.s001.h001 cakewalk%1:04:01::
d0000036.s001.h001 cakewalk%1:04:01::
d0000037.s001.h001 feat%1:04:00::
d0000038.s001.h001 effort%1:04:02::
d0000039.s001.h001 credit%1:04:01::
d0000040.s001.h001 action%1:04:02::
d0000041.s001.h001 course%1:04:00::
d0000042.s001.h001 course_of_action%1:04:00::
d0000043.s001.h001 blind_alley%1:04:00::
d0000044.s001.h001 blind_alley%1:04:00::
d0000045.s001.h001 contact%1:04:02::
d0000046.s001.h001 contact%1:04:02::
d0000047.s001.h001 brush%1:04:04::
d0000048.s001.h001 brush%1:04:04::
d0000049.s001.h001 eye_contact%1:04:00::
d0000050.s001.h001 placement%1:04:01::
d0000051.s001.h001 cross-fertilization%1:04:00::
d0000052.s001.h001 relation%1:04:00::
d0000053.s001.h001 acquiring%1:04:00::
d0000054.s001.h001 getting%1:04:00::
d0000055.s001.h001 hit%1:04:03::
d0000056.s001.h001 rally%1:04:01::
d0000057.s001.h001 rallying%1:04:01::
d0000058.s001.h001 touch%1:04:00::
d0000059.s001.h001 performance%1:04:03::
d0000060.s001.h001 performance%1:04:03::
d0000061.s001.h001 record%1:04:01::
d0000062.s001.h001 track_record%1:04:01::
d0000063.s001.h001 going%1:04:00::
d0000064.s001.h001 sledding%1:04:01::
d0000065.s001.h001 arrival%1:04:01::
d0000066.s001.h001 attainment%1:04:01::
d0000067.s001.h001 advent%1:04:00::
d0000068.s001.h001 entrance%1:04:00::
d0000069.s001.h001 incursion%1:04:01::
d0000070.s001.h001 irruption%1:04:00::
d0000071.s001.h001 entree%1:04:00::
d0000072.s001.h001 appearance%1:04:00::
d0000073.s001.h001 appearance%1:04:00::
d0000074.s001.h001 apparition%1:04:00::
d0000075.s001.h001 reappearance%1:04:00::
d0000076.s001.h001 return%1:04:01::
d0000077.s001.h001 penetration%1:04:02::
d0000078.s001.h001 landing%1:04:01::
d0000079.s001.h001 landing%1:04:01::
d0000080.s001.h001 farewell%1:04:00::
d0000081.s001.h001 leave%1:04:00::
d0000082.s001.h001 parting%1:04:00::
d0000083.s001.h001 withdrawal%1:04:00::
d0000084.s001.h001 retreat%1:04:01::
d0000085.s001.h001 abandonment%1:04:01::
d0000086.s001.h001 aliyah%1:04:00::
d0000087.s001.h001 pullback%1:04:00::
d0000088.s001.h001 retreat%1:04:00::
d0000089.s001.h001 amphibious_landing%1:04:00::
d0000090.s001.h001 escape%1:04:00::
d0000092.s001.h001 flight%1:04:01::
d0000093.s001.h001 breakout%1:04:00::
d0000094.s001.h001 getaway%1:04:00::
d0000095.s001.h001 lam%1:04:00::
d0000096.s001.h001 realization%1:04:02::
d0000097.s001.h001 attainment%1:04:00::
d0000098.s001.h001 record%1:04:00::
d0000099.s001.h001 record%1:04:00::
d0000100.s001.h001 record%1:04:00::
d0000101.s001.h001 track_record%1:04:00::
d0000102.s001.h001 success%1:04:00::
d0000103.s001.h001 success%1:04:00::
d0000104.s001.h001 winning%1:04:00::
d0000105.s001.h001 sleeper%1:04:00::
d0000106.s001.h001 hit%1:04:02::
d0000107.s001.h001 smasher%1:04:00::
d0000108.s001.h001 bang%1:04:00::
d0000109.s001.h001 bell_ringer%1:04:00::
d0000110.s001.h001 bull's_eye%1:04:01::
d0000111.s001.h001 mark%1:04:01::
d0000112.s001.h001 home_run%1:04:01::
d0000113.s001.h001 conquest%1:04:00::
d0000114.s001.h001 flying_colors%1:04:00::
d0000115.s001.h001 passing%1:04:02::
d0000116.s001.h001 pass%1:04:05::
d0000117.s001.h001 failure%1:04:01::
d0000118.s001.h001 failure%1:04:01::
d0000119.s001.h001 failure%1:04:00::
d0000120.s001.h001 failing%1:04:00::
d0000121.s001.h001 flunk%1:04:00::
d0000122.s001.h001 naught%1:04:00::
d0000123.s001.h001 cut%1:04:06::
d0000124.s001.h001 default%1:04:00::
d0000125.s001.h001 loss%1:04:00::
d0000126.s001.h001 capitulation%1:04:00::
d0000127.s001.h001 upset%1:04:00::
d0000128.s001.h001 mistake%1:04:00::
d0000129.s001.h001 error%1:04:02::
d0000130.s001.h001 fault%1:04:00::
d0000131.s001.h001 bobble%1:04:00::
d0000132.s001.h001 blot%1:04:00::
d0000133.s001.h001 confusion%1:04:00::
d0000134.s001.h001 rounding%1:04:00::
d0000135.s001.h001 rounding_error%1:04:00::
d0000136.s001.h001 bull%1:04:00::
d0000137.s001.h001 clanger%1:04:00::
d0000138.s001.h001 trip%1:04:01::
d0000139.s001.h001 trip-up%1:04:00::
d0000140.s001.h001 misstep%1:04:00::
d0000141.s001.h001 spill%1:04:01::
d0000142.s001.h001 acquisition%1:04:00::
d0000143.s001.h001 acquisition%1:04:00::
d0000144.s001.h001 catching%1:04:02::
d0000145.s001.h001 contracting%1:04:00::
d0000146.s001.h001 incurring%1:04:00::
d0000147.s001.h001 annexation%1:04:00::
d0000148.s001.h001 annexation%1:04:00::
d0000149.s001.h001 pork-barreling%1:04:00::
d0000150.s001.h001 purchase%1:04:00::
d0000151.s001.h001 buying%1:04:00::
d0000152.s001.h001 purchasing%1:04:00::
d0000153.s001.h001 shopping%1:04:00::
d0000154.s001.h001 shopping%1:04:00::
d0000155.s001.h001 marketing%1:04:01::
d0000156.s001.h001 acceptance%1:04:03::
d0000157.s001.h001 acceptance%1:04:03::
d0000158.s001.h001 assumption%1:04:00::
d0000159.s001.h001 assumption%1:04:00::
d0000160.s001.h001 assumption%1:04:00::
d0000161.s001.h001 assumption%1:04:01::
d0000162.s001.h001 procurement%1:04:00::
d0000163.s001.h001 appropriation%1:04:00::
d0000164.s001.h001 appropriation%1:04:00::
d0000165.s001.h001 borrowing%1:04:01::
d0000166.s001.h001 naturalization%1:04:01::
d0000167.s001.h001 misappropriation%1:04:02::
d0000168.s001.h001 preemption%1:04:00::
d0000169.s001.h001 usurpation%1:04:00::
d0000170.s001.h001 distress%1:04:00::
d0000171.s001.h001 occupation%1:04:01::
d0000171.s001.h002 occupancy%1:04:01::
d0000172.s001.h001 awarding%1:04:00::
d0000173.s001.h001 addiction%1:04:00::
d0000174.s001.h001 block_grant%1:04:00::
d0000175.s001.h001 collar%1:04:00::
d0000176.s001.h001 restitution%1:04:00::
d0000177.s001.h001 clawback%1:04:00::
d0000178.s001.h001 appointment%1:04:02::
d0000179.s001.h001 comb-out%1:04:01::
d0000180.s001.h001 giving%1:04:01::
d0000181.s001.h001 bootlegging%1:04:00::
d0000182.s001.h001 bootlegging%1:04:01::
d0000183.s001.h001 deliverance%1:04:00::
d0000184.s001.h001 saving%1:04:02::
d0000185.s001.h001 lifesaving%1:04:00::
d0000186.s001.h001 indulgence%1:04:02::
d0000187.s001.h001 amends%1:04:00::
